"eco_values","species","latitude","longitude","date_obs","source","occurrence_id","tmax_mean_c","prec_mean_annual","current_july_temp_c","future_july_2050_c","july_temp_change_c","Temperatur","Moisture","Landcover","Landforms","Climate_Re","Red","Green","Blue","W_Ecosystm","color","elevation","NDVI"
55,"Ursus arctos",59.190333,-125.9282,2025-05-02,"gbif",245,4.07307692307694,34,15.45,18.35,2.89999999999998,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",941,0.3201
55,"Ursus arctos",50.686216,-115.182644,2025-05-21,"gbif",270,3.4961538461539,67.5,11.95,14.95,3,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",2019,0.6286
55,"Ursus arctos",59.210533,-125.951561,2025-05-30,"gbif",68,4.01923076923083,33,15.45,18.35,2.89999999999998,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",883,0.5343
55,"Ursus arctos",60.57861,-137.34,2026-05-04,"gbif",191,1.02692307692308,21.5,14.2500000000001,16.55,2.29999999999995,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",723,0.0031
55,"Ursus arctos",51.080438,-115.486845,2026-05-04,"gbif",210,2.56538461538463,33.5,11.15,14.2500000000001,3.10000000000002,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",1867,0.6002
55,"Ursus arctos",61.791838,-139.630665,2025-05-18,"gbif",242,0.142307692307725,19,14.15,17.05,2.89999999999998,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",847,0.6285
55,"Ursus arctos",51.080438,-115.486845,2026-05-04,"gbif",29,2.56538461538463,33.5,11.15,14.2500000000001,3.10000000000002,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",1867,0.6002
55,"Ursus arctos",61.330497,-138.655742,2026-05-15,"gbif",209,-0.219230769230762,19,12.7500000000001,15.65,2.89999999999998,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",1014,0.4797
55,"Ursus arctos horribilis",50.9782346241,-115.238896122,2026-06-07,"inat",108,2.68076923076927,54,10.55,13.55,3,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",2315,0.6359
55,"Ursus arctos",59.210533,-125.951561,2025-05-30,"gbif",249,4.01923076923083,33,15.45,18.35,2.89999999999998,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",883,0.5343
55,"Ursus arctos horribilis",51.2801446877,-117.4205916477,2026-05-18,"inat",176,2.18076923076922,182.5,10.55,13.55,3,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",1954,0.3249
55,"Ursus arctos horribilis",52.1053000874,-116.8816734704,2026-06-07,"inat",107,-0.11923076923074,77,9.75000000000006,12.7500000000001,3,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",2085,0.4432
55,"Ursus arctos horribilis",50.8231985824,-115.2147679536,2026-06-07,"inat",109,1.96538461538466,71,10.35,13.35,3,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",2166,0.4785
55,"Ursus arctos horribilis",58.3758231197,-122.7137605249,2026-05-30,"inat",146,4.94230769230768,33.5,16.15,18.85,2.69999999999999,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",556,0.7026
55,"Ursus arctos",52.079846,-116.736952,2025-05-31,"gbif",255,-0.92692307692306,81.5,8.85000000000002,11.85,3,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",2392,0.1613
55,"Ursus arctos horribilis",61.3304965222,-138.6557421431,2026-05-15,"inat",169,-0.219230769230762,19,12.7500000000001,15.65,2.89999999999998,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",1014,0.4797
55,"Ursus arctos",51.280145,-117.420592,2026-05-18,"gbif",22,2.18076923076922,182.5,10.55,13.55,3,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",1954,0.3249
55,"Ursus arctos horribilis",50.8497066583,-115.3985350308,2026-05-07,"inat",155,3.28076923076924,54.5,11.95,14.95,3,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",1901,0.6291
55,"Ursus arctos",51.587476,-116.118228,2025-05-22,"gbif",62,1.11153846153849,53,9.95000000000005,12.95,3,"Boreal","Moist","Forest","Mountains","Boreal Moist",6,92,79,"Boreal Moist Forest on Mountains","#065C4F",2093,0.6124
